model-1644510502,1644510504.608,0.62,0.2312,0.67,0.2224
model-1644510502,1644510504.624,0.54,0.2458,0.49,0.2399
model-1644510502,1644510504.64,0.56,0.2437,0.52,0.2521
model-1644510502,1644510504.656,0.57,0.2269,0.65,0.2301
model-1644510502,1644510504.672,0.62,0.2374,0.62,0.2376
model-1644510502,1644510504.691,0.63,0.231,0.62,0.2313
model-1644510502,1644510504.707,0.59,0.235,0.66,0.2317
model-1644510502,1644510504.723,0.68,0.2287,0.61,0.2344
model-1644510502,1644510504.739,0.69,0.2262,0.63,0.2339
model-1644510502,1644510504.754,0.55,0.2434,0.59,0.2301
model-1644510502,1644510504.772,0.56,0.239,0.58,0.2304
model-1644510502,1644510504.787,0.64,0.2366,0.62,0.2304
model-1644510502,1644510504.807,0.7,0.2158,0.7,0.2251
model-1644510502,1644510504.822,0.6,0.2415,0.62,0.2267
model-1644510502,1644510504.838,0.58,0.2327,0.63,0.2295
model-1644510502,1644510504.854,0.7,0.212,0.57,0.2339
model-1644510502,1644510504.871,0.52,0.2523,0.56,0.2445
model-1644510502,1644510504.889,0.56,0.2453,0.59,0.2474
model-1644510502,1644510504.908,0.61,0.2315,0.68,0.2141
model-1644510502,1644510504.925,0.62,0.2258,0.56,0.239
model-1644510502,1644510504.941,0.64,0.2272,0.62,0.2339
model-1644510502,1644510504.957,0.57,0.2369,0.68,0.2178
model-1644510502,1644510504.973,0.62,0.215,0.64,0.2137
model-1644510502,1644510504.989,0.63,0.2225,0.56,0.2516
model-1644510502,1644510505.008,0.59,0.2481,0.7,0.2164
model-1644510502,1644510505.025,0.58,0.2518,0.62,0.2225
model-1644510502,1644510505.041,0.64,0.2261,0.61,0.2195
model-1644510502,1644510505.057,0.6,0.2243,0.62,0.2299
model-1644510502,1644510505.072,0.54,0.251,0.66,0.2207
model-1644510502,1644510505.088,0.6,0.2251,0.65,0.209
model-1644510502,1644510505.105,0.64,0.2144,0.57,0.2359
model-1644510502,1644510505.124,0.68,0.2006,0.62,0.237
model-1644510502,1644510505.146,0.56,0.2441,0.69,0.2136
model-1644510502,1644510505.162,0.7,0.2105,0.68,0.2066
model-1644510502,1644510505.178,0.63,0.2097,0.56,0.251
model-1644510502,1644510505.193,0.61,0.2399,0.64,0.2292
model-1644510502,1644510505.209,0.59,0.2409,0.61,0.2422
model-1644510502,1644510505.228,0.67,0.2339,0.68,0.2147
model-1644510502,1644510505.244,0.63,0.2251,0.65,0.2156
model-1644510502,1644510505.26,0.7,0.2128,0.63,0.2222
model-1644510502,1644510505.275,0.67,0.2152,0.66,0.2111
model-1644510502,1644510505.293,0.64,0.2286,0.61,0.2304
model-1644510502,1644510505.309,0.56,0.2529,0.55,0.2418
model-1644510502,1644510505.324,0.63,0.2285,0.64,0.2239
model-1644510502,1644510505.343,0.52,0.2473,0.59,0.244
model-1644510502,1644510505.359,0.65,0.2215,0.54,0.2486
model-1644510502,1644510505.375,0.61,0.2292,0.54,0.2422
model-1644510502,1644510505.391,0.67,0.2078,0.72,0.2033
model-1644510502,1644510505.407,0.69,0.219,0.63,0.2313
model-1644510502,1644510505.422,0.61,0.23,0.63,0.2243
model-1644510502,1644510505.438,0.61,0.226,0.67,0.216
model-1644510502,1644510505.457,0.59,0.237,0.59,0.2274
model-1644510502,1644510505.473,0.66,0.2346,0.64,0.2319
model-1644510502,1644510505.489,0.57,0.2432,0.63,0.2293
model-1644510502,1644510505.504,0.63,0.2275,0.6,0.2342
model-1644510502,1644510505.521,0.64,0.2318,0.57,0.2503
model-1644510502,1644510505.538,0.46,0.2916,0.58,0.2376
model-1644510502,1644510505.554,0.6,0.2397,0.72,0.2046
model-1644510502,1644510505.573,0.6,0.2328,0.67,0.2147
model-1644510502,1644510505.589,0.61,0.2325,0.6,0.2313
model-1644510502,1644510505.605,0.61,0.2401,0.53,0.2515
model-1644510502,1644510505.62,0.55,0.2429,0.53,0.2314
model-1644510502,1644510505.636,0.54,0.2574,0.69,0.2168
model-1644510502,1644510505.656,0.58,0.2444,0.59,0.239
model-1644510502,1644510505.672,0.65,0.227,0.68,0.227
model-1644510502,1644510505.691,0.56,0.2472,0.73,0.2265
model-1644510502,1644510505.707,0.57,0.2394,0.7,0.2206
